Config,Name,Forecast_Model,Buffer_Type,MAE,RMSE,SLA_Breach_Pct,Overshoot_Pct,Grace_Zone_Pct,Over_Provisioning,Under_Provisioning
B0,Naive (Persistence),y[t-1],Zero Buffer,0.0630543616638467,0.1080263759886258,42.74917491749175,53.07920792079208,4.1551155115511555,0.0320713254618656,0.0309830362019811
B0b,Seasonal Naive,y[t-288] (24h),Zero Buffer,0.1405331096347224,0.1882033159522464,49.3927392739274,49.11551155115512,1.4917491749174918,0.0686254718772771,0.0719076377574452
B1,Global GRU,GRU (7 feat),Zero Buffer,0.0569885946007637,0.0943194287153097,39.86138613861387,56.44554455445544,3.693069306930693,0.033089330381548,0.0238992642192157
B2,Holt-Winters,HW (Tuned m),Zero Buffer,0.1619112812275405,0.2107111197702054,49.227722772277225,49.67656765676568,1.0825082508250825,0.0852907044989159,0.0766205767286245
B3,GRU + Fixed Mean Buffer,GRU-based,Fixed Scalar (0.1659),0.0569885946007637,0.0943194287153097,2.6765676567656764,97.24422442244224,0.0792079207920792,0.1778499678145131,0.0027428263490752
B4a,GRU + U1 Calibrated (Disagreement),GRU + HW Sensor,beta* U1_cal (beta=3.00),0.0569885946007637,0.0943194287153097,6.844884488448845,92.40594059405942,0.7161716171617162,0.198135979795018,0.0048485602789372
B4b,GRU + U2 Calibrated (Error EWMA),GRU-based,beta* U2_cal (beta=3.00),0.0569885946007637,0.0943194287153097,2.7722772277227725,96.94389438943894,0.2508250825082508,0.176729147612287,0.0030504948799677
B4c,GRU + U3 Calibrated (Volatility),GRU-based,beta* U3_cal (beta=3.00),0.0569885946007637,0.0943194287153097,4.201320132013201,95.29372937293728,0.4686468646864687,0.1732417714251999,0.0038300581314923
P,Proposed Adaptive Calibrated,GRU-based (Adaptive),"beta* U*_cal (N*=75, beta=3.00)",0.0569885946007637,0.0943194287153097,5.201320132013201,94.25742574257426,0.4983498349834983,0.1796258606646379,0.0042806471689028
