Config,Model,Val_MAE,Val_RMSE,Test_MAE,Test_RMSE
B0 (Naive Persistence),y[t-1],0.06221945508767986,0.10537132710902662,0.06305436166384677,0.1080263759886258
B0b (Seasonal Naive),y[t-288] (24h),0.13733194518756833,0.18358296064170554,0.1405331096347224,0.18820331595224643
B2 (Holt-Winters),"HW (m in {48,144,288})",0.14308444952199165,0.1863848923650337,0.1619112812275405,0.21071111977020546
B1 (Global GRU),"GRU(7 feat, hidden=32)",0.055305762574953024,0.08960597764555406,0.05698859460076378,0.09431942871530978
Fusion (HW + GRU),alpha*=0.00,0.055305762574953024,0.08960597764555406,0.05698859460076378,0.09431942871530978
